vehicle_id,timestamp,latitude,longitude,speed,accident
V001,2024-01-01 10:00:00,40.7128,-74.0060,45.0,False
V001,2024-01-01 10:01:00,40.7130,-74.0058,52.0,False
V001,2024-01-01 10:02:00,40.7132,-74.0056,38.0,False
V001,2024-01-01 10:03:00,40.7134,-74.0054,65.0,False
V001,2024-01-01 10:04:00,40.7136,-74.0052,78.0,False
V001,2024-01-01 10:05:00,40.7138,-74.0050,85.0,False
V001,2024-01-01 10:06:00,40.7140,-74.0048,92.0,False
V001,2024-01-01 10:07:00,40.7142,-74.0046,105.0,False
V001,2024-01-01 10:08:00,40.7144,-74.0044,125.0,False
V001,2024-01-01 10:09:00,40.7146,-74.0042,130.0,False
V001,2024-01-01 10:10:00,40.7148,-74.0040,135.0,False
V001,2024-01-01 10:11:00,40.7150,-74.0038,25.0,False
V001,2024-01-01 10:12:00,40.7152,-74.0036,30.0,False
V001,2024-01-01 10:13:00,40.7154,-74.0034,35.0,False
V001,2024-01-01 10:14:00,40.7156,-74.0032,40.0,False
V001,2024-01-01 10:15:00,40.7158,-74.0030,45.0,False
V001,2024-01-01 10:16:00,40.7160,-74.0028,50.0,False
V001,2024-01-01 10:17:00,40.7162,-74.0026,55.0,False
V001,2024-01-01 10:18:00,40.7164,-74.0024,60.0,False
V001,2024-01-01 10:19:00,40.7166,-74.0022,65.0,False
V001,2024-01-01 10:20:00,40.7168,-74.0020,70.0,False
V001,2024-01-01 10:21:00,40.7170,-74.0018,75.0,False
V001,2024-01-01 10:22:00,40.7172,-74.0016,80.0,False
V001,2024-01-01 10:23:00,40.7174,-74.0014,85.0,False
V001,2024-01-01 10:24:00,40.7176,-74.0012,90.0,False
V001,2024-01-01 10:25:00,40.7178,-74.0010,95.0,False
V001,2024-01-01 10:26:00,40.7180,-74.0008,100.0,False
V001,2024-01-01 10:27:00,40.7182,-74.0006,105.0,False
V001,2024-01-01 10:28:00,40.7184,-74.0004,110.0,False
V001,2024-01-01 10:29:00,40.7186,-74.0002,115.0,False
V001,2024-01-01 10:30:00,40.7188,-74.0000,120.0,False
V001,2024-01-01 10:31:00,40.7190,73.9998,125.0,False
